date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:35	187/187	---M-Z	200	added ('OK')	text/plain	etag:%227c5-61387747b5278-gzip%22	https://www.tempooficial.com.br/robots.txt		(from )
19:51:36	131608/131608	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Jul%202025%2004:55:04%20GMT	https://www.tempooficial.com.br/	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/index.html	(from )
19:51:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.tempooficial.com.br/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.9	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.033a6.delayed	(from https://www.tempooficial.com.br/)
19:51:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.tempooficial.com.br/feed/	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/feed/index.html	(from https://www.tempooficial.com.br/)
19:51:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.tempooficial.com.br/comments/feed/	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/comments/feed/index.html	(from https://www.tempooficial.com.br/)
19:51:38	1622/1622	---M-Z	200	added ('OK')	text/css	etag:%22656-622a572825748-gzip%22	https://www.tempooficial.com.br/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.9	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main33a6.css	(from https://www.tempooficial.com.br/)
19:51:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.tempooficial.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-includes/css/dist/block-library/style.min.2109c.delayed	(from https://www.tempooficial.com.br/)
19:51:39	112427/112427	---M-Z	200	added ('OK')	text/css	etag:%221b72b-622a56ace7865-gzip%22	https://www.tempooficial.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-includes/css/dist/block-library/style.min109c.css	(from https://www.tempooficial.com.br/)
19:51:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.tempooficial.com.br/wp-content/plugins/cookie-notice/css/front.min.css?ver=2.4.18	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-content/plugins/cookie-notice/css/front.min.402fa.delayed	(from https://www.tempooficial.com.br/)
19:51:41	5064/5064	---M-Z	200	added ('OK')	text/css	etag:%2213c8-622a57a298421-gzip%22	https://www.tempooficial.com.br/wp-content/plugins/cookie-notice/css/front.min.css?ver=2.4.18	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-content/plugins/cookie-notice/css/front.min02fa.css	(from https://www.tempooficial.com.br/)
19:51:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.tempooficial.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.8.1	C:/Meus%20Sites/Tempo/www.tempooficial.com.br/wp-content/themes/hello-elementor/style.min.61102.delayed	(from https://www.tempooficial.com.br/)
